Wall time,Step,Value
1690527028.294716,6,-18.0
1690527028.320251,7,6.0
1690527028.42241,11,-4.0
1690527028.4479518,12,0.0
1690527028.497943,14,-2.0
1690527028.524011,15,8.0
1690527028.5492558,16,-12.0
1690527028.599819,18,4.0
1690527028.624267,19,-12.0
1690527028.6498759,20,-2.0
1690527028.676068,21,8.0
1690527028.7774022,25,16.0
1690527029.009147,34,6.0
1690527029.034195,35,-4.0
1690527029.0841222,37,10.0
1690527029.160415,40,4.0
1690527029.185463,41,10.0
1690527029.235876,43,10.0
1690527029.2863019,45,18.0
1690527029.312172,46,16.0
1690527029.363422,48,0.0
1690527029.414849,50,-2.0
1690527029.440622,51,-4.0
1690527029.517486,54,2.0
1690527029.5432792,55,20.0
1690527029.569047,56,-6.0
1690527029.5939488,57,4.0
1690527029.6201012,58,20.0
1690527029.696197,61,4.0
1690527029.721382,62,-10.0
1690527029.7717052,64,-2.0
1690527029.8226612,66,0.0
1690527029.847836,67,-2.0
1690527029.872874,68,-8.0
1690527029.898096,69,6.0
1690527029.974058,72,8.0
1690527029.999614,73,12.0
1690527030.025546,74,-8.0
1690527030.05134,75,-4.0
1690527030.102609,77,12.0
1690527030.177331,80,12.0
1690527030.303935,85,24.0
1690527030.329571,86,6.0
1690527030.35528,87,28.0
1690527030.380204,88,-2.0
1690527030.405096,89,22.0
1690527030.430309,90,2.0
1690527030.558918,95,2.0
1690527031.005085,103,0.0
1690527031.081971,106,20.0
1690527031.107758,107,0.0
1690527031.287461,114,26.0
1690527031.3645,117,10.0
1690527031.415797,119,8.0
1690527031.44189,120,20.0
1690527031.467854,121,10.0
1690527031.570016,125,14.0
1690527031.5956101,126,14.0
1690527031.6216478,127,-6.0
1690527031.697935,130,14.0
1690527031.723135,131,20.0
1690527031.7994618,134,32.0
1690527031.900633,138,30.0
1690527031.951678,140,10.0
1690527032.003093,142,24.0
1690527032.029079,143,18.0
1690527032.054894,144,36.0
1690527032.080746,145,12.0
1690527032.1824892,149,6.0
1690527032.232824,151,16.0
1690527032.310229,154,14.0
1690527032.33602,155,8.0
1690527032.3621151,156,16.0
1690527032.41405,158,20.0
1690527032.439913,159,4.0
1690527032.4664068,160,24.0
1690527032.543359,163,12.0
1690527032.5947862,165,4.0
1690527032.6201081,166,14.0
1690527032.671884,168,20.0
1690527032.6970098,169,6.0
1690527032.773062,172,14.0
1690527032.901095,177,6.0
1690527032.927086,178,2.0
1690527032.9526532,179,16.0
1690527033.0046122,181,6.0
1690527033.0306299,182,16.0
1690527033.0823638,184,12.0
1690527033.1338618,186,2.0
1690527033.1594691,187,16.0
1690527033.185301,188,12.0
1690527033.212078,189,24.0
1690527033.265671,191,4.0
1690527033.2934809,192,8.0
1690527033.482049,199,34.0
1690527033.838068,203,28.0
1690527033.940723,207,34.0
1690527033.966893,208,32.0
1690527033.9924831,209,26.0
1690527034.096451,213,22.0
1690527034.173187,216,22.0
1690527034.249791,219,24.0
1690527034.275427,220,8.0
1690527034.352106,223,14.0
1690527034.3779368,224,14.0
1690527034.429427,226,16.0
1690527034.45551,227,20.0
1690527034.481175,228,28.0
1690527034.532973,230,30.0
1690527034.558191,231,14.0
1690527034.608683,233,14.0
1690527034.6343622,234,12.0
1690527034.6600142,235,30.0
1690527034.736521,238,0.0
1690527034.8136919,241,16.0
1690527034.94285,246,28.0
1690527034.994857,248,32.0
1690527035.0473878,250,20.0
1690527035.073395,251,20.0
1690527035.202713,256,12.0
1690527035.2799869,259,28.0
1690527035.3057961,260,42.0
1690527035.331459,261,32.0
1690527035.3574898,262,32.0
1690527035.4087071,264,22.0
1690527035.51306,268,48.0
1690527035.565055,270,36.0
1690527035.616436,272,14.0
1690527035.667875,274,28.0
1690527035.7953222,279,40.0
1690527035.846598,281,34.0
1690527035.948865,285,54.0
1690527036.0782669,290,30.0
1690527036.1308339,292,38.0
1690527036.157612,293,26.0
1690527036.2360342,296,32.0
1690527036.2903209,298,40.0
1690527036.316735,299,36.0
1690527036.5832388,300,36.0
1690527036.6351948,302,18.0
1690527036.66096,303,22.0
1690527036.68686,304,20.0
1690527036.792167,308,36.0
1690527036.817485,309,42.0
1690527036.867845,311,32.0
1690527036.9465332,314,30.0
1690527037.052862,318,14.0
1690527037.07923,319,28.0
1690527037.10449,320,32.0
1690527037.1305249,321,28.0
1690527037.183054,323,24.0
1690527037.260156,326,10.0
1690527037.2863958,327,56.0
1690527037.312695,328,24.0
1690527037.3913758,331,42.0
1690527037.41781,332,44.0
1690527037.469229,334,18.0
1690527037.624714,340,42.0
1690527037.676329,342,34.0
1690527037.753356,345,22.0
1690527037.7795808,346,28.0
1690527037.831393,348,28.0
1690527037.85784,349,32.0
1690527037.990589,354,50.0
1690527038.0167308,355,32.0
1690527038.0702028,357,44.0
1690527038.1219609,359,38.0
1690527038.1476579,360,38.0
1690527038.1748328,361,34.0
1690527038.252115,364,24.0
1690527038.279479,365,44.0
1690527038.360594,368,40.0
1690527038.387857,369,34.0
1690527038.4420962,371,30.0
1690527038.4692988,372,40.0
1690527038.524579,374,32.0
