Wall time,Step,Value
1690527028.2947059,6,-37.0
1690527028.320241,7,-19.0
1690527028.422313,11,-28.0
1690527028.447941,12,-25.0
1690527028.497931,14,-25.0
1690527028.5240011,15,-19.0
1690527028.5492458,16,-34.0
1690527028.599807,18,-22.0
1690527028.624258,19,-34.0
1690527028.6498659,20,-25.0
1690527028.676057,21,-19.0
1690527028.7773921,25,-13.0
1690527029.009137,34,-19.0
1690527029.034185,35,-28.0
1690527029.084112,37,-16.0
1690527029.160219,40,-22.0
1690527029.185453,41,-16.0
1690527029.235866,43,-16.0
1690527029.286293,45,-10.0
1690527029.3121622,46,-13.0
1690527029.363411,48,-25.0
1690527029.414839,50,-25.0
1690527029.440612,51,-28.0
1690527029.517476,54,-22.0
1690527029.5432682,55,-10.0
1690527029.569037,56,-28.0
1690527029.5939388,57,-22.0
1690527029.62009,58,-10.0
1690527029.696186,61,-22.0
1690527029.7213702,62,-31.0
1690527029.7716951,64,-25.0
1690527029.8226502,66,-25.0
1690527029.847826,67,-25.0
1690527029.872864,68,-31.0
1690527029.8980842,69,-19.0
1690527029.974048,72,-19.0
1690527029.999603,73,-16.0
1690527030.0255349,74,-31.0
1690527030.05133,75,-28.0
1690527030.1025972,77,-16.0
1690527030.1772869,80,-16.0
1690527030.303925,85,-7.0
1690527030.32956,86,-19.0
1690527030.3552692,87,-4.0
1690527030.380194,88,-25.0
1690527030.405086,89,-7.0
1690527030.4302988,90,-22.0
1690527030.5589068,95,-22.0
1690527031.005074,103,-25.0
1690527031.081961,106,-10.0
1690527031.107747,107,-25.0
1690527031.2874508,114,-4.0
1690527031.364489,117,-16.0
1690527031.415786,119,-19.0
1690527031.441879,120,-10.0
1690527031.467844,121,-16.0
1690527031.570005,125,-13.0
1690527031.5955992,126,-13.0
1690527031.621449,127,-28.0
1690527031.6979232,130,-13.0
1690527031.723124,131,-10.0
1690527031.7994518,134,-1.0
1690527031.900623,138,-1.0
1690527031.951668,140,-16.0
1690527032.003083,142,-7.0
1690527032.029068,143,-10.0
1690527032.054883,144,2.0
1690527032.080735,145,-16.0
1690527032.1824791,149,-19.0
1690527032.2328131,151,-13.0
1690527032.310219,154,-13.0
1690527032.33601,155,-19.0
1690527032.3621051,156,-13.0
1690527032.41404,158,-10.0
1690527032.439903,159,-22.0
1690527032.4662058,160,-7.0
1690527032.543349,163,-16.0
1690527032.5947762,165,-22.0
1690527032.620098,166,-13.0
1690527032.671874,168,-10.0
1690527032.697,169,-19.0
1690527032.7730508,172,-13.0
1690527032.901084,177,-19.0
1690527032.927076,178,-22.0
1690527032.9526432,179,-13.0
1690527033.0046022,181,-19.0
1690527033.0306199,182,-13.0
1690527033.0823538,184,-16.0
1690527033.133852,186,-22.0
1690527033.159459,187,-13.0
