Wall time,Step,Value
1690527728.613308,6,-60.0
1690527728.629845,7,-50.0
1690527728.695286,11,-60.0
1690527728.711921,12,-48.0
1690527728.744521,14,-56.0
1690527728.7614589,15,-50.0
1690527728.7779741,16,-58.0
1690527728.810226,18,-46.0
1690527728.82673,19,-68.0
1690527728.843371,20,-52.0
1690527728.859506,21,-52.0
1690527728.92607,25,-58.0
1690527729.0736709,34,-50.0
1690527729.0899148,35,-46.0
1690527729.122614,37,-26.0
1690527729.172273,40,-60.0
1690527729.189228,41,-34.0
1690527729.2219489,43,-50.0
1690527729.255033,45,-28.0
1690527729.271489,46,-36.0
1690527729.304215,48,-48.0
1690527729.336844,50,-56.0
1690527729.353618,51,-50.0
1690527729.403252,54,-36.0
1690527729.419839,55,-42.0
1690527729.436011,56,-56.0
1690527729.452736,57,-42.0
1690527729.469237,58,-56.0
1690527729.5178182,61,-38.0
1690527729.534004,62,-56.0
1690527729.566398,64,-44.0
1690527729.598429,66,-50.0
1690527729.614691,67,-42.0
1690527729.630445,68,-60.0
1690527729.646278,69,-46.0
1690527729.695122,72,-40.0
1690527729.71103,73,-40.0
1690527729.7270389,74,-36.0
1690527729.743525,75,-38.0
1690527729.777268,77,-50.0
1690527729.8294258,80,-50.0
1690527729.9171112,85,-50.0
1690527729.934377,86,-44.0
1690527729.952144,87,-40.0
1690527729.969165,88,-60.0
1690527729.986511,89,-44.0
1690527730.0039392,90,-36.0
1690527730.092512,95,-44.0
1690527730.3727,103,-20.0
1690527730.42661,106,-34.0
1690527730.443251,107,-30.0
1690527730.556104,114,-36.0
1690527730.605574,117,-32.0
1690527730.638721,119,-34.0
1690527730.6548579,120,-36.0
1690527730.671802,121,-34.0
1690527730.7373729,125,-38.0
1690527730.753634,126,-48.0
1690527730.770379,127,-40.0
1690527730.81905,130,-34.0
1690527730.8347719,131,-40.0
1690527730.883866,134,-32.0
1690527730.9480588,138,-42.0
1690527730.9807959,140,-36.0
1690527731.013366,142,-46.0
1690527731.02961,143,-34.0
1690527731.046043,144,-48.0
1690527731.062143,145,-54.0
1690527731.126254,149,-38.0
1690527731.158716,151,-26.0
1690527731.20769,154,-40.0
1690527731.223638,155,-48.0
1690527731.239794,156,-46.0
1690527731.271669,158,-46.0
1690527731.2875211,159,-24.0
1690527731.3041768,160,-20.0
1690527731.3528168,163,-42.0
1690527731.385819,165,-32.0
1690527731.4019022,166,-38.0
1690527731.4341319,168,-42.0
1690527731.450455,169,-46.0
1690527731.498692,172,-42.0
1690527731.5801659,177,-38.0
1690527731.596319,178,-36.0
1690527731.6128151,179,-46.0
1690527731.645386,181,-24.0
1690527731.661647,182,-30.0
1690527731.6944718,184,-28.0
1690527731.727068,186,-26.0
1690527731.743082,187,-46.0
1690527731.759394,188,-36.0
1690527731.775737,189,-42.0
1690527731.807738,191,-40.0
1690527731.824472,192,-36.0
1690527731.937331,199,-24.0
1690527732.131605,203,-26.0
1690527732.1968,207,-18.0
1690527732.213155,208,-36.0
1690527732.22834,209,-42.0
1690527732.29347,213,-36.0
1690527732.3417091,216,-20.0
1690527732.390513,219,-32.0
1690527732.406969,220,-36.0
1690527732.455734,223,-30.0
1690527732.4718678,224,-56.0
1690527732.5042272,226,-36.0
1690527732.52065,227,-38.0
1690527732.5367591,228,-44.0
1690527732.569335,230,-20.0
1690527732.5851278,231,-24.0
1690527732.6172302,233,-16.0
1690527732.6335628,234,-30.0
1690527732.6500878,235,-14.0
1690527732.698977,238,-18.0
1690527732.746162,241,-22.0
1690527732.825883,246,-24.0
1690527732.8576279,248,-12.0
1690527732.889348,250,-32.0
1690527732.90528,251,-24.0
1690527732.985344,256,-34.0
1690527733.033579,259,-48.0
1690527733.049469,260,-32.0
1690527733.064991,261,-26.0
1690527733.081011,262,-32.0
1690527733.113333,264,-30.0
1690527733.176516,268,-22.0
1690527733.208805,270,-32.0
1690527733.240476,272,-26.0
1690527733.272547,274,-34.0
1690527733.3526242,279,-18.0
1690527733.384746,281,-18.0
1690527733.4481049,285,-24.0
1690527733.5272598,290,-24.0
1690527733.558996,292,-14.0
1690527733.574971,293,-18.0
1690527733.623276,296,-10.0
1690527733.654976,298,-20.0
1690527733.6705222,299,-28.0
1690527733.8143518,300,-12.0
1690527733.847282,302,-18.0
1690527733.863714,303,-30.0
1690527733.879415,304,-6.0
1690527733.9437408,308,-18.0
1690527733.9599092,309,-28.0
1690527733.991161,311,-20.0
1690527734.038887,314,-14.0
1690527734.1035001,318,4.0
1690527734.119643,319,-20.0
1690527734.135433,320,0.0
1690527734.1518002,321,-20.0
1690527734.183639,323,-8.0
1690527734.230073,326,-32.0
1690527734.246905,327,-8.0
1690527734.2629251,328,-26.0
1690527734.310878,331,-10.0
1690527734.326751,332,-8.0
1690527734.359495,334,-32.0
1690527734.456334,340,-16.0
1690527734.487799,342,-26.0
1690527734.5362802,345,-12.0
1690527734.552403,346,-32.0
1690527734.583777,348,-18.0
1690527734.599722,349,-22.0
1690527734.677901,354,-26.0
1690527734.6934981,355,-14.0
1690527734.7249541,357,-6.0
1690527734.7571259,359,-16.0
1690527734.7727811,360,-20.0
