Wall time,Step,Value
1690527832.5998,6,-43.0
1690527832.617054,7,-61.0
1690527832.684132,11,-64.0
1690527832.701599,12,-58.0
1690527832.735487,14,-64.0
1690527832.752757,15,-55.0
1690527832.769453,16,-67.0
1690527832.802964,18,-46.0
1690527832.819884,19,-64.0
1690527832.836989,20,-52.0
1690527832.8542342,21,-67.0
1690527832.923104,25,-55.0
1690527833.075616,34,-52.0
1690527833.092242,35,-55.0
1690527833.125346,37,-52.0
1690527833.17676,40,-58.0
1690527833.1941829,41,-55.0
1690527833.228401,43,-64.0
1690527833.2614138,45,-64.0
1690527833.277589,46,-64.0
1690527833.3113432,48,-55.0
1690527833.344636,50,-46.0
1690527833.361253,51,-55.0
1690527833.411316,54,-55.0
1690527833.427823,55,-49.0
1690527833.444543,56,-52.0
1690527833.460881,57,-52.0
1690527833.477191,58,-58.0
1690527833.525899,61,-73.0
1690527833.542364,62,-49.0
1690527833.5752,64,-49.0
1690527833.6077151,66,-49.0
1690527833.6242292,67,-52.0
1690527833.641273,68,-61.0
1690527833.65788,69,-46.0
1690527833.7080371,72,-61.0
1690527833.724512,73,-52.0
1690527833.7412438,74,-49.0
1690527833.757587,75,-64.0
1690527833.79092,77,-67.0
1690527833.840857,80,-55.0
1690527833.923625,85,-49.0
1690527833.9402392,86,-55.0
1690527833.956438,87,-58.0
1690527833.97331,88,-46.0
1690527833.990283,89,-43.0
1690527834.006797,90,-34.0
1690527834.090545,95,-52.0
1690527834.358764,103,-40.0
1690527834.408845,106,-49.0
1690527834.425462,107,-52.0
1690527834.5441432,114,-70.0
1690527834.595284,117,-43.0
1690527834.62851,119,-52.0
1690527834.6455948,120,-52.0
1690527834.6625159,121,-43.0
1690527834.729289,125,-43.0
1690527834.746826,126,-52.0
1690527834.763005,127,-49.0
1690527834.812929,130,-31.0
1690527834.829665,131,-40.0
1690527834.881948,134,-52.0
1690527834.948849,138,-55.0
1690527834.982087,140,-34.0
1690527835.015033,142,-49.0
1690527835.031626,143,-49.0
1690527835.0474508,144,-52.0
1690527835.064426,145,-34.0
1690527835.129636,149,-52.0
1690527835.1623738,151,-43.0
1690527835.213481,154,-34.0
1690527835.229681,155,-46.0
1690527835.2463748,156,-43.0
1690527835.279805,158,-43.0
1690527835.296731,159,-19.0
1690527835.3126159,160,-61.0
1690527835.362669,163,-58.0
1690527835.395922,165,-49.0
1690527835.411875,166,-28.0
1690527835.444654,168,-43.0
1690527835.461291,169,-34.0
1690527835.5115771,172,-25.0
1690527835.5934122,177,-28.0
1690527835.609629,178,-31.0
1690527835.626357,179,-40.0
1690527835.6594691,181,-22.0
1690527835.675401,182,-49.0
1690527835.707967,184,-31.0
1690527835.7412539,186,-28.0
1690527835.758135,187,-40.0
1690527835.774527,188,-34.0
1690527835.791223,189,-49.0
1690527835.825713,191,-55.0
1690527835.8423429,192,-37.0
